NOMBRE,DROGA,PRESENTACION,LABORATORIO,FORMA,VIA,TIPO_DE_VENTA,ACCION,TROQUEL,SNOMED
ATOMO ARNICA ROLL-ON,arnica montana+asoc.,roll-on x 90 g,Imvi,Cremas/Geles/Pomadas/Ungüentos,uso externo,Venta Libre,Antiinflam.tópico, , 
ATOMO CANNABIDIOL CBD,cannabidiol+asoc.,cr.x 110 g,Imvi,Cremas/Geles/Pomadas/Ungüentos,uso externo,Venta Libre,Humectante, , 
ATOMO DESINFLAMANTE CLASICO,"amilo,salicilato+asoc.",pomo x 40 g,Imvi,Cremas/Geles/Pomadas/Ungüentos,uso externo,Venta Libre,Analgésico tópico Antiinfl., ,261161000221109
ATOMO DESINFLAMANTE CLASICO,"amilo,salicilato+asoc.",pote x 110 g,Imvi,Cremas/Geles/Pomadas/Ungüentos,uso externo,Venta Libre,Analgésico tópico Antiinfl., ,261171000221100
ATOMO DESINFLAMANTE CLASICO,"amilo,salicilato+asoc.",pote x 220 g,Imvi,Cremas/Geles/Pomadas/Ungüentos,uso externo,Venta Libre,Analgésico tópico Antiinfl., ,261181000221102
ATOMO DESINFLAMANTE FORTE,"metilo,salicilato+asoc.",cr.x 100 g,Imvi,Cremas/Geles/Pomadas/Ungüentos,uso externo,Venta Libre,Analgésico tópico Antiinfl., , 
ATOMO DESINFLAMANTE FRIO,pentano+butano,aer. x 140 g,Laboratorio Millet,Sprays/Aerosoles/Soluciones para nebulizar,uso externo,Venta Libre,Anestésico Refrigerante, , 
ATOMO DESINFLAMANTE GELDIC FORTE,diclofenac dietilamina,gel x 50 g,Imvi,Cremas/Geles/Pomadas/Ungüentos,uso externo,Venta Libre,Analgésico Antiinflam., ,509061000221102
ATOMO DESINFLAMANTE GELDIC V.L.SIN OLOR,diclofenac dietilamina,gel x 30 g,Imvi,Cremas/Geles/Pomadas/Ungüentos,uso externo,Venta Libre,Analgésico Antiinflam., ,261221000221108
ATOMO DESINFLAMANTE GELDIC V.L.SIN OLOR,diclofenac dietilamina,gel x 100 g,Imvi,Cremas/Geles/Pomadas/Ungüentos,uso externo,Venta Libre,Analgésico Antiinflam., ,261211000221103
ATOPHEN BAUME,producto cosmético,bálsamo x 200 g,Cepage,Cremas/Geles/Pomadas/Ungüentos,uso externo,Venta Libre,Nutriente dérmico, , 
ATOPHEN FLUIDE,vit.b3+asoc.,emuls.fluida x 50 g,Cepage,Emulsiones/Leches de Limpieza,uso externo,Venta Libre,Dermatocosméticos, , 
ATOPHEN LEVRES,protector solar,barra x 4 g,Cepage,Lápices labiales,uso externo,Venta Libre,Dermatocosméticos, , 
ATOPHEN LN,producto cosmético,loción x 245 ml,Cepage,Solución de uso externo/Loción,uso externo,Venta Libre,Higiene de la piel, , 
ATOPHEN RICHE,producto cosmético,cr.nutritiva x 50 g,Cepage,Cremas/Geles/Pomadas/Ungüentos,uso externo,Venta Libre,Nutriente dérmico, , 
ATOPHEN SENSITIVE,producto cosmético,emulsión x 40 ml,Cepage,Cremas/Geles/Pomadas/Ungüentos,uso externo,Venta Libre,Higiene de la piel, , 
ATOPIX,cetirizina,gts.x 20 ml,Cassará,Gotas orales,oral,Venta Bajo Receta,Antialérgico Antihistamínico,5332682,261231000221106
ATOPIX,cetirizina,comp.rec.x 20,Cassará,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antialérgico Antihistamínico,5332552,243381000221107
ATOPIX 50,"titanio,dióxido+zinc,óxido",prot.solar mineral x 15g,Cassará,Cremas/Geles/Pomadas/Ungüentos,uso externo,Venta Libre,Protector solar, , 
ATOPIX 50,"titanio,dióxido+zinc,óxido",prot.solar mineral x100g,Cassará,Cremas/Geles/Pomadas/Ungüentos,uso externo,Venta Libre,Protector solar, , 
ATOPIX CREMA,xilitol+niacinamida+manteca de karité,env.x 150 g,Cassará,Cremas/Geles/Pomadas/Ungüentos,uso externo,Venta Libre,Hidratante Protector piel seca, , 
ATOPIX EMULSION,xilitol+niacinamida+manteca de karité,env.x 200 g,Cassará,Emulsiones/Leches de Limpieza,uso externo,Venta Libre,Hidratante Protector piel seca, , 
ATOPIX ESPUMA DE LIMPIEZA,xilitol+niacinamida,env.x 130 ml,Cassará,Espumas/emulsiones,uso externo,Venta Libre,Higiene de la piel, , 
ATOPIX L,levocetirizina,comp.x 20,Cassará,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Antialérgico Antihistamínico,6555392,352651000221106
ATOPIX PASTA,"vit.a+zinc,óxido+xylitol+niacinamida+m.karité",env.x 60 g,Cassará,Cremas/Geles/Pomadas/Ungüentos,uso externo,Venta Libre,Reconstituyente dérmico, , 
ATOPIX UNGUENTO,xilitol+niacinamida+manteca de karité,env.x 15 g,Cassará,Cremas/Geles/Pomadas/Ungüentos,uso externo,Venta Libre,Hidratante Protector piel seca, , 
ATORMAX 10,atorvastatín,comp.rec.x 30,Géminis Farmacéutica,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Hipolipemiante,5939711,205691000221106
ATORMAX 10,atorvastatín,comp.rec.x 60,Géminis Farmacéutica,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Hipolipemiante,5939712,205701000221106
ATORMAX 20,atorvastatín,comp.rec.x 30,Géminis Farmacéutica,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Hipolipemiante,5939841,205721000221104
ATORMAX 20,atorvastatín,comp.rec.x 60,Géminis Farmacéutica,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Hipolipemiante,5939842,205731000221101
ATORMAX 40,atorvastatín,comp.rec.x 30,Géminis Farmacéutica,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Hipolipemiante,6639131,387031000221103
ATORMAX 40,atorvastatín,comp.rec.x 60,Géminis Farmacéutica,Comprimidos/Pastillas/Tabletas/Grageas,oral,Venta Bajo Receta,Hipolipemiante,6639132, 
